d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,input,prev_input
89.1852005660132,90.78546139112804,79.88116173416608,79.20227269466452,73.24616030891995,69.0,63.324560795950255,60.83584469702052,57.42821606144492,57.48912940721924,60.03332407921454,w,w
89.1852005660132,90.78546139112804,79.88116173416608,79.20227269466452,73.24616030891995,69.0,63.324560795950255,60.83584469702052,59.64059020499378,58.89821729050889,61.40032573203501,w,w
89.1852005660132,92.9569792968769,81.27115109311545,79.20227269466452,73.24616030891995,69.0,64.28841264178172,60.83584469702052,61.032778078668514,59.665735560705194,61.40032573203501,w,w
89.1852005660132,89.37561188601732,82.66196223173026,79.20227269466452,73.24616030891995,69.0,64.28841264178172,61.741396161732524,61.032778078668514,61.71709649683789,62.26556030423239,w,w
89.1852005660132,89.37561188601732,87.09190547921202,77.87810988975015,73.24616030891995,68.0,65.25335240430181,63.071388124885914,61.032778078668514,61.71709649683789,65.86349520030045,w,w
89.1852005660132,89.37561188601732,87.09190547921202,77.87810988975015,73.24616030891995,68.0,64.28841264178172,63.071388124885914,62.42595614005443,62.48199740725323,65.86349520030045,w,w
89.1852005660132,89.37561188601732,86.2670273047588,77.87810988975015,72.27724399837061,68.0,64.28841264178172,63.071388124885914,62.42595614005443,63.89053137985315,65.86349520030045,d,w
89.1852005660132,89.37561188601732,86.2670273047588,77.87810988975015,72.27724399837061,68.0,64.28841264178172,63.071388124885914,62.42595614005443,63.89053137985315,66.73080248281148,d,d
89.1852005660132,89.37561188601732,86.2670273047588,77.87810988975015,72.27724399837061,67.0,64.28841264178172,63.071388124885914,62.42595614005443,63.89053137985315,68.09552114493287,d,d
89.1852005660132,92.19544457292888,86.2670273047588,77.87810988975015,72.27724399837061,67.0,63.324560795950255,63.071388124885914,63.8200595424354,65.29931086925804,69.46221994724903,d,d
89.1852005660132,90.78546139112804,86.2670273047588,77.87810988975015,72.27724399837061,67.0,63.324560795950255,63.071388124885914,63.8200595424354,65.29931086925804,69.46221994724903,d,d
89.1852005660132,90.78546139112804,86.2670273047588,76.96752561957543,71.30918594402827,66.0,63.324560795950255,63.071388124885914,63.8200595424354,68.11754546370561,71.69379331573968,d,d
89.1852005660132,90.78546139112804,86.2670273047588,76.96752561957543,71.30918594402827,66.0,63.324560795950255,63.071388124885914,63.8200595424354,68.11754546370561,73.92563831310488,d,d
89.1852005660132,92.19544457292888,86.2670273047588,76.96752561957543,71.30918594402827,66.0,64.28841264178172,63.071388124885914,63.8200595424354,68.11754546370561,73.92563831310488,d,d
89.1852005660132,89.37561188601732,86.2670273047588,76.96752561957543,71.30918594402827,67.0,64.28841264178172,63.97655820689325,64.63745044476924,68.8839603971781,74.79304780526061,d,d
89.1852005660132,89.37561188601732,86.2670273047588,76.96752561957543,72.27724399837061,67.0,64.28841264178172,65.30696746902278,66.03029607687671,70.2922470831599,77.52418977325722,d,d
89.1852005660132,87.96590248499699,86.2670273047588,76.96752561957543,72.27724399837061,67.0,65.25335240430181,65.30696746902278,66.85057965343307,71.7007670809734,84.21995013059554,d,d
89.1852005660132,85.7962703152066,86.2670273047588,77.87810988975015,72.27724399837061,68.0,65.25335240430181,66.2117814289874,67.42403132415029,74.51845409024533,80.62257748298549,d,d
89.1852005660132,85.14693182963201,86.2670273047588,77.87810988975015,72.27724399837061,68.0,66.48308055437865,70.68238818828917,68.81860213634101,75.92759709091287,84.21995013059554,d,d
89.1852005660132,83.73768566183328,86.2670273047588,77.87810988975015,72.27724399837061,68.0,66.48308055437865,67.54257916307313,69.63476143421474,76.69419795525604,86.45229898620394,d,d
89.1852005660132,82.97590011563598,86.2670273047588,37.16180835212409,72.27724399837061,69.0,67.446274915669,68.4470598345904,71.02816342831905,78.74642849044012,87.8179936004006,d,d
89.1852005660132,82.97590011563598,86.2670273047588,77.87810988975015,72.27724399837061,69.0,67.446274915669,72.91776189653656,71.84705978674423,79.51100552753688,90.0499861188218,d,d
87.8179936004006,77.98717843338096,77.6659513557904,36.24913792078372,73.24616030891995,69.0,68.41052550594829,69.77822009767804,73.23933369440222,88.72992730753249,90.0499861188218,d,d
83.35466393669883,75.92759709091287,72.67048919609665,36.24913792078372,73.24616030891995,69.0,69.3757882838098,70.68238818828917,78.2368199762746,83.73768566183328,90.0499861188218,w,d
81.12336284942828,76.57675887630658,70.45565981523414,36.24913792078372,73.24616030891995,70.0,69.3757882838098,78.29431652425353,74.63243262818116,91.54780172128658,90.0499861188218,w,w
78.89233169326408,72.34638899074369,68.24221567329127,77.87810988975015,73.24616030891995,70.0,72.53275122315436,72.01388754955533,76.02631123499285,85.9127464349732,90.0499861188218,w,w
